case          all_survive
present_mask  0xFFFFFFFF
keep_mask     0xFFFFFFFF  (32 survivors: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31])
rank order    [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]
duplicate scores present  False
pairs exactly on 2I == U  0

slot     x     y     a     b  score      area  rank  kept
   0    50    50   140   140  65535      8100     0   yes
   1   120    50   210   140  65534      8100     1   yes
   2   190    50   280   140  65533      8100     2   yes
   3   260    50   350   140  65532      8100     3   yes
   4   330    50   420   140  65531      8100     4   yes
   5   400    50   490   140  65530      8100     5   yes
   6    50   120   140   210  65529      8100     6   yes
   7   120   120   210   210  65528      8100     7   yes
   8   190   120   280   210  65527      8100     8   yes
   9   260   120   350   210  65526      8100     9   yes
  10   330   120   420   210  65525      8100    10   yes
  11   400   120   490   210  65524      8100    11   yes
  12    50   190   140   280  65523      8100    12   yes
  13   120   190   210   280  65522      8100    13   yes
  14   190   190   280   280  65521      8100    14   yes
  15   260   190   350   280  65520      8100    15   yes
  16   330   190   420   280  65519      8100    16   yes
  17   400   190   490   280  65518      8100    17   yes
  18    50   260   140   350  65517      8100    18   yes
  19   120   260   210   350  65516      8100    19   yes
  20   190   260   280   350  65515      8100    20   yes
  21   260   260   350   350  65514      8100    21   yes
  22   330   260   420   350  65513      8100    22   yes
  23   400   260   490   350  65512      8100    23   yes
  24    50   330   140   420  65511      8100    24   yes
  25   120   330   210   420  65510      8100    25   yes
  26   190   330   280   420  65509      8100    26   yes
  27   260   330   350   420  65508      8100    27   yes
  28   330   330   420   420  65507      8100    28   yes
  29   400   330   490   420  65506      8100    29   yes
  30    50   400   140   490  65505      8100    30   yes
  31   120   400   210   490  65504      8100    31   yes
