case          boundary
present_mask  0xFFFFFFFF
keep_mask     0xFFFFFF75  (29 survivors: [0, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31])
rank order    [0, 2, 4, 6, 1, 3, 5, 7, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8]
duplicate scores present  False
pairs exactly on 2I == U  2

slot     x     y     a     b  score      area  rank  kept
   0     0     0    30    30  65535       900     0   yes
   1    10     0    40    30  32767       900     4      
   2   500     0   533    30  65534       990     1   yes
   3   511     0   544    30  32766       990     5      
   4  1000     0  1036    30  65533      1080     2   yes
   5  1012     0  1049    30  32765      1110     6   yes
   6  1500     0  1539    30  65532      1170     3   yes
   7  1513     0  1551    30  32764      1140     7      
   8  1000  1300  1020  1320      9       400    31   yes
   9  1300  1300  1320  1320     10       400    30   yes
  10  1600  1300  1620  1320     11       400    29   yes
  11  1900  1300  1920  1320     12       400    28   yes
  12  2200  1300  2220  1320     13       400    27   yes
  13  2500  1300  2520  1320     14       400    26   yes
  14  2800  1300  2820  1320     15       400    25   yes
  15  3100  1300  3120  1320     16       400    24   yes
  16  1000  1600  1020  1620     17       400    23   yes
  17  1300  1600  1320  1620     18       400    22   yes
  18  1600  1600  1620  1620     19       400    21   yes
  19  1900  1600  1920  1620     20       400    20   yes
  20  2200  1600  2220  1620     21       400    19   yes
  21  2500  1600  2520  1620     22       400    18   yes
  22  2800  1600  2820  1620     23       400    17   yes
  23  3100  1600  3120  1620     24       400    16   yes
  24  1000  1900  1020  1920     25       400    15   yes
  25  1300  1900  1320  1920     26       400    14   yes
  26  1600  1900  1620  1920     27       400    13   yes
  27  1900  1900  1920  1920     28       400    12   yes
  28  2200  1900  2220  1920     29       400    11   yes
  29  2500  1900  2520  1920     30       400    10   yes
  30  2800  1900  2820  1920     31       400     9   yes
  31  3100  1900  3120  1920     32       400     8   yes
