case          disjoint
present_mask  0xFFFFFFFF
keep_mask     0xFFFFFFFF  (32 survivors: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31])
rank order    [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]
duplicate scores present  False
pairs exactly on 2I == U  0

slot     x     y     a     b  score      area  rank  kept
   0     0     0    50    50  65535      2500     0   yes
   1   120   120   170   170  65534      2500     1   yes
   2   240   240   290   290  65533      2500     2   yes
   3   360   360   410   410  65532      2500     3   yes
   4   480   480   530   530  65531      2500     4   yes
   5   600   600   650   650  65530      2500     5   yes
   6   720   720   770   770  65529      2500     6   yes
   7   840   840   890   890  65528      2500     7   yes
   8   960   960  1010  1010  65527      2500     8   yes
   9  1080  1080  1130  1130  65526      2500     9   yes
  10  1200  1200  1250  1250  65525      2500    10   yes
  11  1320  1320  1370  1370  65524      2500    11   yes
  12  1440  1440  1490  1490  65523      2500    12   yes
  13  1560  1560  1610  1610  65522      2500    13   yes
  14  1680  1680  1730  1730  65521      2500    14   yes
  15  1800  1800  1850  1850  65520      2500    15   yes
  16  1920  1920  1970  1970  65519      2500    16   yes
  17  2040  2040  2090  2090  65518      2500    17   yes
  18  2160  2160  2210  2210  65517      2500    18   yes
  19  2280  2280  2330  2330  65516      2500    19   yes
  20  2400  2400  2450  2450  65515      2500    20   yes
  21  2520  2520  2570  2570  65514      2500    21   yes
  22  2640  2640  2690  2690  65513      2500    22   yes
  23  2760  2760  2810  2810  65512      2500    23   yes
  24  2880  2880  2930  2930  65511      2500    24   yes
  25  3000  3000  3050  3050  65510      2500    25   yes
  26  3120  3120  3170  3170  65509      2500    26   yes
  27  3240  3240  3290  3290  65508      2500    27   yes
  28  3360  3360  3410  3410  65507      2500    28   yes
  29  3480  3480  3530  3530  65506      2500    29   yes
  30  3600  3600  3650  3650  65505      2500    30   yes
  31  3720  3720  3770  3770  65504      2500    31   yes
