case          rand_seed2
present_mask  0xFFFFFFFF
keep_mask     0xFFFFFFFB  (31 survivors: [0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31])
rank order    [28, 26, 19, 13, 24, 5, 11, 9, 18, 20, 29, 16, 1, 8, 22, 12, 14, 21, 27, 10, 25, 3, 0, 15, 30, 6, 4, 31, 17, 7, 2, 23]
duplicate scores present  False
pairs exactly on 2I == U  0

slot     x     y     a     b  score      area  rank  kept
   0    75   346   272   477  22241     25807    22   yes
   1   283   364   478   450  50375     16770    12   yes
   2   149   316   298   500   5665     27416    30      
   3   370   271   549   469  24293     35442    21   yes
   4   376   193   529   291  16783     14994    26   yes
   5    43    27   130   222  57898     16965     5   yes
   6   256   113   431   287  19051     30450    25   yes
   7   251   318   396   480   8977     23490    29   yes
   8   126   312   189   437  49480      7875    13   yes
   9   352    99   522   248  56499     25330     7   yes
  10   203    68   285   201  27179     10906    19   yes
  11    36   301   136   416  56732     11500     6   yes
  12    65   285   262   437  35016     29944    15   yes
  13   161   327   321   504  58606     28320     3   yes
  14   320   261   413   401  32028     13020    16   yes
  15   380   104   573   294  21287     36670    23   yes
  16   273   189   448   241  52223      9100    11   yes
  17    61   242   145   360   9492      9912    28   yes
  18   398   267   536   372  54444     14490     8   yes
  19   350    88   444   208  58698     11280     2   yes
  20    97   339   177   435  54376      7680     9   yes
  21    70    73   263   235  30135     31266    17   yes
  22     5    41   106   180  36107     14039    14   yes
  23    76    59   146   137    567      5460    31   yes
  24   213   140   334   248  58359     13068     4   yes
  25   212   380   314   530  24646     15300    20   yes
  26   351   152   442   197  60982      4095     1   yes
  27    96   236   282   329  29733     17298    18   yes
  28   132    47   215   186  61498     11537     0   yes
  29    71     3   176   113  53277     11550    10   yes
  30   112    94   261   194  20814     14900    24   yes
  31    37   326   108   487  14750     11431    27   yes
