case          rand_seed3
present_mask  0xFFFFFFFF
keep_mask     0xBEFFFDFF  (29 survivors: [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 31])
rank order    [19, 13, 8, 15, 14, 26, 29, 4, 22, 25, 27, 3, 10, 7, 5, 21, 17, 6, 31, 20, 24, 0, 1, 12, 11, 18, 9, 28, 23, 2, 16, 30]
duplicate scores present  False
pairs exactly on 2I == U  0

slot     x     y     a     b  score      area  rank  kept
   0   365   233   460   292  15980      5605    21   yes
   1   335   195   493   321  15556     19908    22   yes
   2   250    42   323   138   3240      7008    29   yes
   3    22   115    89   187  38492      4824    11   yes
   4    93   381   237   569  54399     27072     7   yes
   5   116   336   302   534  32621     36828    14   yes
   6    44   188   135   376  28644     17108    17   yes
   7   354   316   524   477  32893     27370    13   yes
   8   364   144   459   319  60243     16625     2   yes
   9   270    98   444   213   5429     20010    26      
  10   246    74   319   221  33122     10731    12   yes
  11    51   246   180   310  11803      8256    24   yes
  12   156   248   227   432  12490     13064    23   yes
  13   362   196   476   241  62565      5130     1   yes
  14   305   317   445   454  58223     19180     4   yes
  15   134   383   190   468  58312      4760     3   yes
  16   398    22   521   137   1319     14145    30   yes
  17   278   122   462   222  28685     18400    16   yes
  18   117   197   196   385  11063     14852    25   yes
  19   330   343   467   390  62570      6439     0   yes
  20   232   169   294   350  19056     11222    19   yes
  21   346    18   469   128  30407     13530    15   yes
  22   274    48   430   167  51985     18564     8   yes
  23    92    93   200   226   4270     14364    28   yes
  24   358   314   522   442  17521     20992    20      
  25   170   331   227   378  50335      2679     9   yes
  26   320   375   401   520  56195     11745     5   yes
  27   148   394   261   586  41780     21696    10   yes
  28   212   129   320   302   4436     18684    27   yes
  29   204   304   359   428  55089     19220     6   yes
  30    72    69   229   222   1214     24021    31      
  31    61   249   105   374  19860      5500    18   yes
