case          rand_seed5
present_mask  0xFFFFFFFF
keep_mask     0xFDDFFFFF  (30 survivors: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 26, 27, 28, 29, 30, 31])
rank order    [7, 31, 22, 30, 24, 3, 9, 26, 16, 6, 11, 15, 25, 18, 13, 1, 8, 21, 5, 27, 4, 19, 28, 12, 20, 14, 23, 10, 17, 2, 29, 0]
duplicate scores present  False
pairs exactly on 2I == U  0

slot     x     y     a     b  score      area  rank  kept
   0   302   178   490   245    260     12596    31   yes
   1   159   268   345   393  38369     23250    15   yes
   2    83   178   165   255  13106      6314    29   yes
   3   337   202   466   285  56376     10707     5   yes
   4   315   197   472   364  29785     26219    20   yes
   5   362    93   558   212  32877     23324    18   yes
   6    31   167   230   236  46961     13731     9   yes
   7   371   391   458   531  64264     12180     0   yes
   8   317   263   453   454  37829     25976    16   yes
   9   267   357   338   542  54912     13135     6   yes
  10   183   148   290   332  16652     19688    27   yes
  11    56   282   219   422  46736     22820    10   yes
  12   297   392   340   572  25072      7740    23   yes
  13   104    29   300   116  41925     17052    14   yes
  14   388   370   536   525  21881     22940    25   yes
  15   336    16   395    75  46613      3481    11   yes
  16   292   157   400   258  47760     10908     8   yes
  17   211   154   272   222  14238      4148    28   yes
  18   251    85   402   284  44556     30049    13   yes
  19    44   125    95   238  28645      5763    21   yes
  20   120   384   190   517  24384      9310    24   yes
  21   358   265   452   463  35394     18612    17      
  22   142    60   306   235  61734     28700     2   yes
  23   390     4   583    86  18780     15826    26   yes
  24   389   107   576   159  57791      9724     4   yes
  25   164   384   264   513  45656     12900    12      
  26   185     7   273   130  50842     10824     7   yes
  27   173   330   240   429  32045      6633    19   yes
  28   134    43   245    99  28132      6216    22   yes
  29    18   350    66   533  11529      8784    30   yes
  30   178   379   241   499  58005      7560     3   yes
  31   227   240   389   324  62271     13608     1   yes
