case          rand_seed6
present_mask  0xFFFFFFFF
keep_mask     0x7FFFFFFF  (31 survivors: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30])
rank order    [17, 1, 0, 7, 28, 19, 14, 12, 4, 29, 26, 30, 23, 8, 10, 2, 11, 13, 22, 5, 24, 15, 25, 9, 3, 21, 6, 16, 27, 20, 18, 31]
duplicate scores present  False
pairs exactly on 2I == U  0

slot     x     y     a     b  score      area  rank  kept
   0   363   245   407   427  62403      8008     2   yes
   1    29   132    85   220  64762      4928     1   yes
   2   186   223   341   335  29202     17360    15   yes
   3   382   239   493   402  18012     18093    24   yes
   4    92   140   225   305  46073     21945     8   yes
   5    38   147   167   271  23436     15996    19   yes
   6    71   221   132   270  12191      2989    26   yes
   7   377   164   442   250  48950      5590     3   yes
   8   226   352   407   471  32978     21539    13   yes
   9   254   228   402   329  20113     14948    23   yes
  10    72   251   164   330  32071      7268    14   yes
  11    96   164   280   345  27986     33304    16   yes
  12    67   161   175   234  46836      7884     7   yes
  13   281   231   458   369  27967     24426    17   yes
  14   334   215   435   389  48199     17574     6   yes
  15   199   385   337   460  21212     10350    21   yes
  16   303    17   431   194   8642     22656    27   yes
  17   364    48   541   210  64864     28674     0   yes
  18   264   373   360   553   1617     17280    30   yes
  19   110    48   257   117  48793     10143     5   yes
  20   115   150   209   222   2870      6768    29   yes
  21    34   278   152   389  13353     13098    25   yes
  22   169   236   209   385  26489      5960    18   yes
  23    55   154   164   204  38097      5450    12   yes
  24     0   249    94   362  22004     10622    20   yes
  25    17   309   140   350  20700      5043    22   yes
  26   337   342   512   468  42516     22050    10   yes
  27    62   390   110   498   4464      5184    28   yes
  28    60    97   247   279  48932     34034     4   yes
  29   312   269   458   321  45304      7592     9   yes
  30   163   102   321   202  41392     15800    11   yes
  31   274   182   413   379   1002     27383    31      
