case          rand_seed7
present_mask  0xFFFFFFFF
keep_mask     0xFF7FFFFF  (31 survivors: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31])
rank order    [21, 0, 26, 12, 7, 18, 17, 30, 8, 20, 14, 22, 9, 11, 15, 2, 6, 4, 16, 3, 27, 19, 29, 24, 1, 25, 23, 10, 5, 31, 13, 28]
duplicate scores present  False
pairs exactly on 2I == U  0

slot     x     y     a     b  score      area  rank  kept
   0   126   317   314   465  63244     27824     1   yes
   1   390   158   465   306  16243     11100    24   yes
   2   128   151   320   199  36745      9216    15   yes
   3   160    97   247   287  25378     16530    19   yes
   4    78   376   254   451  32003     13200    17   yes
   5   190    58   249   139   8300      4779    28   yes
   6   252    96   331   253  35464     12403    16   yes
   7    45   124   154   272  56923     16132     4   yes
   8   120    36   316   155  52435     23324     8   yes
   9   149   152   200   292  39139      7140    12   yes
  10    84   119   180   304  12353     17760    27   yes
  11   311   224   404   319  38449      8835    13   yes
  12   245   254   425   425  57835     30780     3   yes
  13   175     3   312   199   4784     26852    30   yes
  14   253   199   322   367  44452     11592    10   yes
  15   128     6   227   148  37251     14058    14   yes
  16   131   194   269   328  31548     18492    18   yes
  17   207   223   352   298  53450     10875     6   yes
  18   360   228   505   413  56229     26825     5   yes
  19   380    41   494   114  19838      8322    21   yes
  20    34   329   112   369  52260      3120     9   yes
  21   126   156   249   235  65103      9717     0   yes
  22    47    14   218   201  44268     31977    11   yes
  23   122   203   234   328  13370     14000    26      
  24    68    78   221   263  19409     28305    23   yes
  25   211   326   303   381  16124      5060    25   yes
  26    35   152   230   232  59558     15600     2   yes
  27   366   217   409   302  24805      3655    20   yes
  28   182   130   305   248   1627     14514    31   yes
  29    13   234    87   317  19595      6142    22   yes
  30   358    93   459   262  52884     17069     7   yes
  31   324    33   455   105   7753      9432    29   yes
