case          rand_seed8
present_mask  0xFFFFFFFF
keep_mask     0xBFFFFFFF  (31 survivors: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 31])
rank order    [28, 11, 26, 24, 29, 8, 19, 15, 17, 10, 14, 20, 0, 1, 6, 18, 31, 25, 12, 13, 30, 27, 2, 3, 21, 16, 23, 4, 5, 22, 7, 9]
duplicate scores present  False
pairs exactly on 2I == U  0

slot     x     y     a     b  score      area  rank  kept
   0    66   366   127   504  36249      8418    12   yes
   1   193   100   253   216  28157      6960    13   yes
   2    92   103   213   191  14674     10648    22   yes
   3    97    43   280   191  13389     27084    23   yes
   4   273   165   412   259   7252     13066    27   yes
   5   381   370   565   524   4438     28336    28   yes
   6   176   370   300   470  26418     12400    14   yes
   7   261   388   426   482   3049     15510    30   yes
   8    35   247   219   315  53213     12512     5   yes
   9    95   173   195   325   1382     15200    31   yes
  10   180   397   266   495  47553      8428     9   yes
  11   282    91   328   189  63255      4508     1   yes
  12   250    97   317   272  19754     11725    18   yes
  13    30   375   227   461  17861     16942    19   yes
  14   174   129   221   187  41881      2726    10   yes
  15    72   201   123   355  52683      7854     7   yes
  16   160   141   338   305   9117     29192    25   yes
  17   149   256   288   309  50900      7367     8   yes
  18   239    94   326   178  25398      7308    15   yes
  19   286   324   475   403  52956     14931     6   yes
  20   121    15   242    74  38620      7139    11   yes
  21   368   192   436   347   9279     10540    24   yes
  22   283   110   362   281   4376     13509    29   yes
  23    52   286   220   353   8719     11256    26   yes
  24   190   389   348   538  56741     23542     3   yes
  25   192   328   314   393  21194      7930    17   yes
  26   281   319   432   364  62024      6795     2   yes
  27    77   337   223   531  14724     28324    21   yes
  28   281   245   344   306  64521      3843     0   yes
  29   364    98   562   157  53784     11682     4   yes
  30   206   275   402   454  15529     35084    20      
  31   207   304   352   484  22617     26100    16   yes
